name,state,ibge_code
Guajará-Mirim,RO,1100106
Alto Alegre dos Parecis,RO,1100379
Porto Velho,RO,1100205
Buritis,RO,1100452
Ji-Paraná,RO,1100122
Chupinguaia,RO,1100924
Ariquemes,RO,1100023
Cujubim,RO,1100940
Cacoal,RO,1100049
Nova União,RO,1101435
Pimenta Bueno,RO,1100189
Parecis,RO,1101450
Vilhena,RO,1100304
Pimenteiras do Oeste,RO,1101468
Jaru,RO,1100114
Primavera de Rondônia,RO,1101476
Ouro Preto do Oeste,RO,1100155
São Felipe D'Oeste,RO,1101484
Presidente Médici,RO,1100254
São Francisco do Guaporé,RO,1101492
Costa Marques,RO,1100080
Teixeirópolis,RO,1101559
Colorado do Oeste,RO,1100064
Vale do Anari,RO,1101757
Espigão D'Oeste,RO,1100098
Amajari,RR,1400027
Cerejeiras,RO,1100056
Cantá,RR,1400175
Rolim de Moura,RO,1100288
Caroebe,RR,1400233
Caldazinha,GO,5204557
Iracema,RR,1400282
Alta Floresta D'Oeste,RO,1100015
Pacaraima,RR,1400456
Alvorada D'Oeste,RO,1100346
Rorainópolis,RR,1400472
Cabixi,RO,1100031
Uiramutã,RR,1400704
Machadinho D'Oeste,RO,1100130
Anapu,PA,1500859
Nova Brasilândia D'Oeste,RO,1100148
Bannach,PA,1501253
Santa Luzia D'Oeste,RO,1100296
Belterra,PA,1501451
São Miguel do Guaporé,RO,1100320
Cachoeira do Piriá,PA,1501956
Nova Mamoré,RO,1100338
Canaã dos Carajás,PA,1502152
Jesúpolis,GO,5212055
Curuá,PA,1502855
Professor Jamil,GO,5218391
Floresta do Araguaia,PA,1503044
Santo Antônio de Goiás,GO,5219738
Marituba,PA,1504422
Cocalzinho de Goiás,GO,5205513
Nova Ipixuna,PA,1504976
Terezópolis de Goiás,GO,5221197
Piçarra,PA,1505635
Uirapuru,GO,5221577
Placas,PA,1505650
Buritinópolis,GO,5203962
Quatipuru,PA,1506112
Buriti de Goiás,GO,5203939
São João da Ponta,PA,1507466
Guaraíta,GO,5209291
Sapucaia,PA,1507755
Vila Boa,GO,5222203
Tracuateua,PA,1508035
Inaciolândia,GO,5209937
Vitória do Jari,AP,1600808
Aparecida do Rio Doce,GO,5201454
Aguiarnópolis,TO,1700301
Chapadão do Céu,GO,5205471
